Sample	lon	lat	wc2.0_bio_30s_01	wc2.0_bio_30s_02	wc2.0_bio_30s_03	wc2.0_bio_30s_04	wc2.0_bio_30s_05	wc2.0_bio_30s_06	wc2.0_bio_30s_07	wc2.0_bio_30s_08	wc2.0_bio_30s_09	wc2.0_bio_30s_10	wc2.0_bio_30s_11	wc2.0_bio_30s_12	wc2.0_bio_30s_13	wc2.0_bio_30s_14	wc2.0_bio_30s_15	wc2.0_bio_30s_16	wc2.0_bio_30s_17	wc2.0_bio_30s_18	wc2.0_bio_30s_19
98N2073	-79.695588	47.740092	2.379166566	10.85833331	24.07612688	1241.806703	22	-23.10000038	45.10000038	15.61666656	-12.68333335	16.66666651	-13.83333341	812	91	41	23.50965684	263	148	252	150
98N2078	-79.695588	47.740092	2.379166566	10.85833331	24.07612688	1241.806703	22	-23.10000038	45.10000038	15.61666656	-12.68333335	16.66666651	-13.83333341	812	91	41	23.50965684	263	148	252	150
98N2086	-79.695588	47.740092	2.379166566	10.85833331	24.07612688	1241.806703	22	-23.10000038	45.10000038	15.61666656	-12.68333335	16.66666651	-13.83333341	812	91	41	23.50965684	263	148	252	150
98N2089	-79.695588	47.740092	2.379166566	10.85833331	24.07612688	1241.806703	22	-23.10000038	45.10000038	15.61666656	-12.68333335	16.66666651	-13.83333341	812	91	41	23.50965684	263	148	252	150
98N2095	-79.695588	47.740092	2.379166566	10.85833331	24.07612688	1241.806703	22	-23.10000038	45.10000038	15.61666656	-12.68333335	16.66666651	-13.83333341	812	91	41	23.50965684	263	148	252	150
99N0579	-108.63333	42.627778	5.37500011	15.1833336	36.23707337	970.2096879	25.89999962	-16	41.89999962	9.316666951	-6.383333415	17.48333351	-6.383333415	298	52	13	45.19814165	122	42	66	42
99N0580	-108.63333	42.627778	5.37500011	15.1833336	36.23707337	970.2096879	25.89999962	-16	41.89999962	9.316666951	-6.383333415	17.48333351	-6.383333415	298	52	13	45.19814165	122	42	66	42
99N0581	-108.63333	42.627778	5.37500011	15.1833336	36.23707337	970.2096879	25.89999962	-16	41.89999962	9.316666951	-6.383333415	17.48333351	-6.383333415	298	52	13	45.19814165	122	42	66	42
99N7114	-79.320278	35.116667	16.11666674	13.16666678	38.16425074	771.3752012	33.20000076	-1.299999952	34.50000072	25.46666686	11.53333349	25.46666686	6.366666806	1191	135	75	18.46734023	372	244	372	282
99N7115	-79.320278	35.116667	16.11666674	13.16666678	38.16425074	771.3752012	33.20000076	-1.299999952	34.50000072	25.46666686	11.53333349	25.46666686	6.366666806	1191	135	75	18.46734023	372	244	372	282
99N7117	-79.320278	35.116667	16.11666674	13.16666678	38.16425074	771.3752012	33.20000076	-1.299999952	34.50000072	25.46666686	11.53333349	25.46666686	6.366666806	1191	135	75	18.46734023	372	244	372	282
99N7118	-79.320278	35.116667	16.11666674	13.16666678	38.16425074	771.3752012	33.20000076	-1.299999952	34.50000072	25.46666686	11.53333349	25.46666686	6.366666806	1191	135	75	18.46734023	372	244	372	282
99N7119	-79.320278	35.116667	16.11666674	13.16666678	38.16425074	771.3752012	33.20000076	-1.299999952	34.50000072	25.46666686	11.53333349	25.46666686	6.366666806	1191	135	75	18.46734023	372	244	372	282
99N7120	-79.320278	35.116667	16.11666674	13.16666678	38.16425074	771.3752012	33.20000076	-1.299999952	34.50000072	25.46666686	11.53333349	25.46666686	6.366666806	1191	135	75	18.46734023	372	244	372	282
AZCOYE15	-110.25609	31.46085	17.22916654	17.02499987	48.92241341	677.9530005	34.5	-0.300000012	34.80000001	24.78333298	20.78333346	25.64999994	9.149999867	424	104	5	85.53740506	240	27	207	89
AZCOYE16	-110.25609	31.46085	17.22916654	17.02499987	48.92241341	677.9530005	34.5	-0.300000012	34.80000001	24.78333298	20.78333346	25.64999994	9.149999867	424	104	5	85.53740506	240	27	207	89
